id,_Personne__id_personne,_Personne__sex,_Personne__nom,_Personne__prenom,_Personne__date_naissance,_Personne__nationalite,_Personne__pays,_Personne__taille,_Personne__poids,_Personne__statut,_Personne__id_csv,_Competiteur__surnom,_Competiteur__sport_pratique,_Competiteur__numero_maillot,_Competiteur__poste_principal,_Competiteur__nombre_medailles
3286,3286,,Caddy,Dorian,1995-03-02,,,185.0,84.8,{},719413.0,,3,,,0
3287,3287,,Dessoleil,Dorian,1992-08-07,,,183.0,68.0,{},178261.0,,3,,,0
3288,3288,,Leveque,Dorian,1989-11-22,,,180.0,73.9,{},186805.0,,3,,,0
3289,3289,,Goian,Dorin,1980-12-12,,,193.0,83.0,{},40855.0,,3,,,0
3290,3290,,Pabon,Dorlan,1988-01-24,,,168.0,73.0,{},158263.0,,3,,,0
3291,3291,,De Vries,Dorus,1980-12-29,,,190.0,96.2,{},35495.0,,3,,,0
3292,3292,,Alves Maciel Lino,Dorvalino,1977-06-01,,,188.0,78.9,{},40164.0,,3,,,0
3293,3293,,Santos Fabio Junior,dos,1982-10-06,,,175.0,78.9,{},38804.0,,3,,,0
3294,3294,,Junior,Dossa,1986-08-27,,,188.0,82.1,{},69030.0,,3,,,0
3295,3295,,Imrie,Dougie,1983-08-03,,,178.0,73.9,{},25674.0,,3,,,0
3296,3296,,,Douglao,1986-08-15,,,193.0,83.9,{},159394.0,,3,,,0
3297,3297,,Abner,Douglas,1996-01-03,,,175.0,63.0,{},690364.0,,3,,,0
3298,3298,,Costa,Douglas,1990-09-14,,,173.0,64.9,{},156726.0,,3,,,0
3299,3299,,Santos,Douglas,1994-03-22,,,175.0,68.9,{},346000.0,,3,,,0
3300,3300,,,Douglas,1988-01-12,,,193.0,79.8,{},110147.0,,3,,,0
3301,3301,,,Douglas,1983-03-09,,,188.0,88.0,{},120621.0,,3,,,0
3302,3302,,,Douglas,1986-01-03,,,183.0,84.8,{},149845.0,,3,,,0
3303,3303,,,Douglas,1990-08-06,,,170.0,67.1,{},172116.0,,3,,,0
